filename,precision,recall,f1,accuracy,bleu,rouge1-precision,rouge1-recall,rouge1-fmeasure,rouge2-precision,rouge2-recall,rouge2-fmeasure,rougeL-precision,rougeL-recall,rougeL-fmeasure,TNLNS
google-mbert-bm-1last,0.00,0.00,0.00,0.00,0.00,0.71,0.67,0.69,0.36,0.33,0.34,0.30,0.29,0.2958801498127341},0.36
summaries_2last_google-mbert-bm,0.00,0.00,0.00,0.00,0.00,0.44,0.87,0.58,0.24,0.47,0.32,0.21,0.41,0.2759825327510917},0.23
question_answering_mbert-bm.csv,0.00,0.00,0.00,0.00,0.00,0.06,0.26,0.09,0.01,0.06,0.02,0.06,0.26,0.09425846268935853},0.07
summaries_1last_google-mbert-bm.csv_translate,0.04,0.04,0.04,0.04,0.00,,,,,,,,,,
alephbert-bm-1last,0.00,0.00,0.00,0.00,0.00,0.71,0.73,0.72,0.35,0.36,0.36,0.31,0.32,0.3177043300025621},0.32
summaries_1last_alephbert-bm.csv_translate,0.03,0.03,0.03,0.03,0.00,,,,,,,,,,
summaries_2last_alephbert-bm,0.00,0.00,0.00,0.00,0.00,0.46,0.86,0.60,0.26,0.49,0.34,0.22,0.42,0.290850260650728},0.21
question_answeriing_aleph-bert_bm.csv,0.00,0.00,0.00,0.00,0.00,0.03,0.29,0.06,0.01,0.06,0.01,0.03,0.29,0.05957216355266721},0.06
question_answering_aleph-bert_ft.csv,0.00,0.00,0.00,0.00,0.00,0.21,0.27,0.24,0.03,0.04,0.04,0.14,0.19,0.1626126126126126},0.03
information_retrieval_aleph-bert.csv,0.01,0.01,0.01,0.01,0.00,0.00,0.64,0.01,0.00,0.18,0.00,0.00,0.38,0.0037005631842055306},0.37
information_retrieval_aleph-bert_benchmark.csv,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.93,0.00,0.00,1.00,0.0027974738228572554},0.04
question_answering_aleph-bert_ft.csv_translate,0.00,0.00,0.00,0.00,0.00,0.51,0.05,0.10,0.26,0.03,0.05,0.32,0.03,0.06054436607770426},0.01
legalhebertbm-1last,0.00,0.00,0.00,0.00,0.00,0.73,0.70,0.72,0.36,0.35,0.35,0.32,0.31,0.3139658848614072},0.33
summaries_2last_legal_hebert-bm.csv,0.00,0.00,0.00,0.00,0.00,0.43,0.86,0.58,0.25,0.50,0.33,0.22,0.44,0.29076416565586555},0.21
question_answeriing_legal-hebert_bm.csv,0.00,0.00,0.00,0.00,0.00,0.07,0.29,0.11,0.01,0.05,0.02,0.07,0.29,0.11074197120708748},0.04
question_answering_legal-hebert_ft.csv,0.00,0.00,0.00,0.00,0.00,0.06,0.29,0.09,0.01,0.06,0.02,0.06,0.29,0.09281133985825178},0.07
information_retrieval_legal-hebert.csv,0.00,0.00,0.00,0.00,0.00,0.11,0.62,0.19,0.03,0.16,0.05,0.06,0.31,0.09628324255046461},0.20
information_retrieval_legal-hebert_benchmark.csv,0.01,0.01,0.01,0.01,0.00,0.03,0.95,0.05,0.02,0.76,0.04,0.02,0.78,0.040908284064065985},0.07
summaries_1last_legal_hebert-bm.csv_translate,0.04,0.04,0.04,0.04,0.00,,,,,,,,,,
mbert-bm-1last,0.00,0.00,0.00,0.00,0.00,0.57,0.78,0.66,0.28,0.39,0.33,0.26,0.36,0.30597992143168923},0.31
summaries_2last_mbert-base-bm,0.00,0.00,0.00,0.00,0.00,0.33,0.88,0.48,0.20,0.52,0.29,0.17,0.46,0.25322192324033427},0.21
t5base-1last,0.00,0.00,0.00,0.00,0.00,0.89,0.21,0.34,0.50,0.12,0.19,0.54,0.13,0.2088050314465409},0.41
summaries_1last_t5_base-bm.csv_translate,0.04,0.04,0.04,0.04,0.00,,,,,,,,,,
summaries_2last_t5_base-bm,0.00,0.00,0.00,0.00,0.00,0.87,0.42,0.57,0.40,0.20,0.26,0.42,0.20,0.2738095238095238},0.26
summaries_1last_mbert-base-bm.csv_translate,0.03,0.03,0.03,0.03,0.00,,,,,,,,,,
question_answeriing_mt5-small_bm.csv,0.00,0.00,0.00,0.00,0.00,0.07,0.26,0.11,0.01,0.05,0.02,0.07,0.26,0.107600341588386},0.09
information_retrieval_mt5-small.csv,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0},0.00
information_retrieval_mt5-small_benchmark.csv,0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.89,0.00,0.00,0.94,0.002949684716895274},0.04
question_answering_mt5-small_ft.csv,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0},0.00
